model,flag_col,auc_full,auc_without,delta,verdict
M2 IsoForest,is_anomaly_m2,0.8957904734550284,0.7935241115005222,0.10226636195450622,ESSENTIAL
M14 VAE,is_anomaly_vae,0.8957904734550284,0.8185076999528949,0.07728277350213353,ESSENTIAL
M13 Autoencoder,is_anomaly_autoencoder,0.8957904734550284,0.8416524300615272,0.054138043393501145,ESSENTIAL
M5b IQR,is_anomaly_iqr,0.8957904734550284,0.883419345059539,0.012371128395489372,USEFUL
M8 ANR,is_anomaly_anr,0.8957904734550284,0.8895845375023448,0.0062059359526835944,MARGINAL
M9 NMF,is_anomaly_nmf,0.8957904734550284,0.8948679862740551,0.0009224871809733193,REDUNDANT
M7 Prophet,is_anomaly_prophet,0.8957904734550284,0.9034664083465072,-0.007675934891478775,REDUNDANT
M5a 3-sigma,is_anomaly_3sigma,0.8957904734550284,0.9036591233904261,-0.007868649935397709,REDUNDANT
M8 Chronos,is_anomaly_chronos,0.8957904734550284,0.9075362222125096,-0.011745748757481245,REDUNDANT
